"post_id (S)","epoch_time (N)","content (S)","sentiment (N)","time (S)"
"002fc9270d457e6c65bc62ead512acfd","1583758899","Mua cái này đc cc gì vậy ae ?","-1","1583758899"
"002fc9270d457e6c65bc62ead512acfd","1583758904","pr mục dữ ha ai chẳng có 2 con mắt","-1","1583758904"
"002fc9270d457e6c65bc62ead512acfd","1583758954","Giảm độ khó neeko đi ad ơi =(((( nâng cấp thế này lâu vl =((","1","1583758954"
"002fc9270d457e6c65bc62ead512acfd","1583759028","Cũng thích thần hỏa lắm mà hổng có tiền ._.","1","1583759028"
"002fc9270d457e6c65bc62ead512acfd","1583759085","Tui mua 2 bộ sao vào game nó hiện lên bộ cơ bản vậy mọi người","-1","1583759085"
"002fc9270d457e6c65bc62ead512acfd","1583759090","Thế cho tiền mua đi :))","-1","1583759090"
"002fc9270d457e6c65bc62ead512acfd","1583759101","Ai chưa có mua điểm danh","-1","1583759101"
"002fc9270d457e6c65bc62ead512acfd","1583759153","Mua trọn hết thần hỏa các tướng","-1","1583759153"
"002fc9270d457e6c65bc62ead512acfd","1583759210","🔥 Chi tiết về Thần Hỏa: http://bit.ly/ThanHoa
🔥 Câu hỏi thường gặp: http://bit.ly/ThanHoaFAQ
🔥 Tra cứu Thần Hoả: https://thanhoa.lienminh.garena.vn/tra-cuu/","-1","1583759210"
"002fc9270d457e6c65bc62ead512acfd","1583759211","Mua gói sẽ lời hơn =))","1","1583759211"
"002fc9270d457e6c65bc62ead512acfd","1583759330","Phải chi mình mua được trong lúc chọn tướng trước khi vô trận","-1","1583759330"
"002fc9270d457e6c65bc62ead512acfd","1583759617","K ai mua đâu :)","-1","1583759617"
"002fc9270d457e6c65bc62ead512acfd","1583759756","nếu mình chỉ mua bộ khởi đầu và cày các mốc thì mình có được nâng cấp biểu cảm thông thạo không vậy??","-1","1583759756"
"002fc9270d457e6c65bc62ead512acfd","1583759775","Bỏ tiền ra để thuê người đếm xem mình đã ăn được bao nhiêu bát cơm, uống bao nhiêu cốc nước...thật ba chấm ( trích XTV )","-1","1583759775"
"002fc9270d457e6c65bc62ead512acfd","1583759842","Ad cho minh hỏi. Phiên ban mới nhất mình cap nhạt ve máy ròi. Cài xong sao vào tran choi ko đc. Man hình cứ đòi kết nối lại là sao","-1","1583759842"
"002fc9270d457e6c65bc62ead512acfd","1583759909","Mua thần hoả có tác dụng vậy các bác , em tối cổ lắm hay mua dùng để khoe","1","1583759909"
"002fc9270d457e6c65bc62ead512acfd","1583760061","Có cách nào không tốn rp không :v chứ cách mua thì biết dồi đó","-1","1583760061"
"002fc9270d457e6c65bc62ead512acfd","1583760236","Tính mua nhưng em tui đổi mẹ mk laptop :))","-1","1583760236"
"002fc9270d457e6c65bc62ead512acfd","1583760362","để tiền mua khẩu trang đi","-1","1583760362"
"002fc9270d457e6c65bc62ead512acfd","1583760552","mọi người cho mình hỏi ngọc nhánh áp đảo đang bị lỗi phải k mình k dùng được ngọc ở nhánh này","-1","1583760552"
"002fc9270d457e6c65bc62ead512acfd","1583760555","Minh Tân","-1","1583760555"
"002fc9270d457e6c65bc62ead512acfd","1583760930","V là sao ad","0","1583760930"
"002fc9270d457e6c65bc62ead512acfd","1583761193","Nhảm nhí và tốn rp","-1","1583761193"
"002fc9270d457e6c65bc62ead512acfd","1583761228","1 tướng 2k5 thl mà hơn 100 tướng có hơn 14k :>","-1","1583761228"
